NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Armidale Regional,"Dealing, trafficking in other drugs",0,1,0,0,0,nc,nc,nc
Armidale Regional,Cultivating cannabis,5,5,6,15,7,22.8,nc,nc
Armidale Regional,Manufacture drug,0,0,0,2,0,nc,nc,nc
Armidale Regional,Importing drugs,0,2,1,0,0,nc,nc,nc
Armidale Regional,Other drug offences,21,18,25,16,10,32.6,nc,nc
Armidale Regional,Prohibited and regulated weapons offences,83,76,99,103,98,319.1,Stable,Stable
Armidale Regional,Trespass,145,135,137,99,89,289.8,Stable,Down 11.5%
Armidale Regional,Offensive conduct,46,48,57,53,43,140,Stable,Stable
Armidale Regional,Offensive language,25,15,18,11,11,35.8,nc,nc
Armidale Regional,Criminal intent,18,16,14,15,21,68.4,nc,nc
Armidale Regional,Betting and gaming offences,0,0,2,1,1,3.3,nc,nc
Armidale Regional,Liquor offences,53,45,53,58,52,169.3,Stable,Stable
Armidale Regional,Pornography offences,1,5,2,6,6,19.5,nc,nc
Armidale Regional,Prostitution offences,0,0,0,0,0,nc,nc,nc
Armidale Regional,Escape custody,0,0,1,0,1,3.3,nc,nc
Armidale Regional,Breach Apprehended Violence Order,70,49,54,106,127,413.6,Stable,Up 16.1%
Armidale Regional,Breach bail conditions,111,65,72,85,90,293.1,Stable,Stable
Armidale Regional,Fail to appear,2,1,1,0,0,nc,nc,nc
Armidale Regional,Resist or hinder officer,25,21,16,26,26,84.7,Stable,nc
Armidale Regional,Other offences against justice procedures,1,1,0,4,2,6.5,nc,nc
Armidale Regional,Transport regulatory offences,2,5,2,2,0,nc,nc,nc
Armidale Regional,Other offences,71,59,79,117,110,358.2,Stable,Up 11.6%
Ballina,Murder *,0,0,0,1,2,4.5,nc,nc
Ballina,Attempted murder,0,0,0,0,0,nc,nc,nc
Ballina,"Murder accessory, conspiracy",0,1,0,0,0,nc,nc,nc
Ballina,Manslaughter *,0,0,0,0,0,nc,nc,nc
Bayside,Domestic violence related assault,496,536,528,568,677,388.2,Up 19.2%,Up 8.1%
Ballina,Non-domestic violence related assault,147,156,198,125,137,309.9,Stable,Stable
Ballina,Assault Police,7,12,11,15,11,24.9,nc,nc
Ballina,Sexual assault,31,27,27,39,33,74.6,Stable,Stable
Ballina,"Indecent assault, act of indecency and other sexual offences",40,31,33,37,35,79.2,Stable,Stable
Ballina,Abduction and kidnapping,2,0,0,0,1,2.3,nc,nc
Ballina,Robbery without a weapon,4,3,5,2,3,6.8,nc,nc
Ballina,Robbery with a firearm,0,0,0,0,2,4.5,nc,nc
Ballina,Robbery with a weapon not a firearm,4,1,4,1,5,11.3,nc,nc
Ballina,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Ballina,"Intimidation, stalking and harassment",124,126,118,157,124,280.5,Stable,Stable
Ballina,Other offences against the person,0,6,1,5,4,9,nc,nc
Ballina,Break and enter dwelling,114,135,99,152,164,371,Stable,Stable
Ballina,Break and enter non-dwelling,73,91,84,71,70,158.3,Stable,Stable
Ballina,Receiving or handling stolen goods,15,20,30,38,59,133.5,Stable,nc
Ballina,Motor vehicle theft,34,52,65,68,47,106.3,Stable,Stable
Ballina,Steal from motor vehicle,162,221,249,224,141,318.9,Down 37.1%,Stable
Ballina,Steal from retail store,93,107,96,96,136,307.6,Up 41.7%,Stable
Ballina,Steal from dwelling,117,111,117,147,130,294.1,Stable,Stable
Ballina,Steal from person,14,13,14,7,11,24.9,nc,nc
Ballina,Stock theft,2,1,0,1,1,2.3,nc,nc
Ballina,Fraud,187,225,204,176,219,495.4,Stable,Stable
Ballina,Other theft,154,192,188,149,149,337,Stable,Stable
Ballina,Arson,22,25,38,24,18,40.7,nc,nc
Ballina,Malicious damage to property,313,346,318,289,269,608.5,Stable,Stable
Ballina,Possession and/or use of cocaine,1,5,1,1,7,15.8,nc,nc
Ballina,Possession and/or use of narcotics,3,3,1,2,0,nc,nc,nc
Ballina,Possession and/or use of cannabis,83,104,73,82,89,201.3,Stable,Stable
Ballina,Possession and/or use of amphetamines,16,15,10,23,34,76.9,Stable,nc
Ballina,Possession and/or use of ecstasy,1,4,2,5,8,18.1,nc,nc
Ballina,Possession and/or use of other drugs,7,9,12,9,18,40.7,nc,nc
Ballina,"Dealing, trafficking in cocaine",0,5,0,0,6,13.6,nc,nc
Ballina,"Dealing, trafficking in narcotics",1,5,0,0,0,nc,nc,nc
Ballina,"Dealing, trafficking in cannabis",4,3,3,3,5,11.3,nc,nc
Ballina,"Dealing, trafficking in amphetamines",3,21,2,2,36,81.4,nc,nc
Ballina,"Dealing, trafficking in ecstasy",1,1,1,4,4,9,nc,nc
Ballina,"Dealing, trafficking in other drugs",2,0,0,17,1,2.3,nc,nc
Ballina,Cultivating cannabis,19,9,8,14,11,24.9,nc,nc
Ballina,Manufacture drug,0,0,0,1,0,nc,nc,nc
Ballina,Importing drugs,0,0,0,0,3,6.8,nc,nc
Ballina,Other drug offences,20,24,14,19,31,70.1,nc,nc
Ballina,Prohibited and regulated weapons offences,39,60,37,85,100,226.2,Stable,Up 26.5%
Ballina,Trespass,27,55,40,47,51,115.4,Stable,Up 17.2%
Ballina,Offensive conduct,11,32,39,35,36,81.4,Stable,nc
Ballina,Offensive language,12,30,22,14,15,33.9,nc,nc
Ballina,Criminal intent,8,20,8,11,14,31.7,nc,nc
Ballina,Betting and gaming offences,0,0,0,0,1,2.3,nc,nc
Ballina,Liquor offences,48,33,66,44,58,131.2,Stable,Stable
Ballina,Pornography offences,2,8,3,4,4,9,nc,nc
Ballina,Prostitution offences,0,0,0,0,0,nc,nc,nc
Ballina,Escape custody,1,1,0,0,0,nc,nc,nc
Ballina,Breach Apprehended Violence Order,79,83,63,89,92,208.1,Stable,Stable
Ballina,Breach bail conditions,87,129,121,141,127,287.3,Stable,Up 9.9%
Ballina,Fail to appear,3,0,3,1,0,nc,nc,nc
Ballina,Resist or hinder officer,21,24,25,31,38,86,Stable,Stable
Ballina,Other offences against justice procedures,0,5,5,3,4,9,nc,nc
Ballina,Transport regulatory offences,1,1,0,0,1,2.3,nc,nc
Ballina,Other offences,46,60,59,48,50,113.1,Stable,Stable
Balranald,Murder *,0,0,0,0,0,nc,nc,nc
Balranald,Attempted murder,0,0,0,0,0,nc,nc,nc
Balranald,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Balranald,Manslaughter *,0,0,0,0,0,nc,nc,nc
Lithgow,Domestic violence related assault,89,89,98,106,121,559.3,Up 14.2%,Up 8.0%
Balranald,Non-domestic violence related assault,9,14,11,12,10,nc,nc,nc
Balranald,Assault Police,3,1,0,2,0,nc,nc,nc
Balranald,Sexual assault,2,3,0,3,3,nc,nc,nc
Balranald,"Indecent assault, act of indecency and other sexual offences",4,2,0,2,2,nc,nc,nc
