NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Moree Plains,Transport regulatory offences,0,3,3,1,1,7.5,nc,nc
Moree Plains,Other offences,93,98,90,81,78,584.3,Stable,Stable
Mosman,Murder *,0,0,0,0,0,nc,nc,nc
Mosman,Attempted murder,0,0,0,0,0,nc,nc,nc
Mosman,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Mosman,Manslaughter *,0,0,0,0,0,nc,nc,nc
Shellharbour,Domestic violence related assault,269,226,230,201,253,350.2,Up 25.9%,Stable
Mosman,Non-domestic violence related assault,51,34,38,32,48,155.5,Stable,Stable
Mosman,Assault Police,1,0,1,1,1,3.2,nc,nc
Mosman,Sexual assault,6,4,13,10,10,32.4,nc,nc
Mosman,"Indecent assault, act of indecency and other sexual offences",11,24,18,14,13,42.1,nc,nc
Mosman,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Mosman,Robbery without a weapon,1,2,2,10,3,9.7,nc,nc
Mosman,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Mosman,Robbery with a weapon not a firearm,0,2,1,1,1,3.2,nc,nc
Mosman,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Mosman,"Intimidation, stalking and harassment",34,34,40,35,30,97.2,Stable,Stable
Mosman,Other offences against the person,2,1,0,3,0,nc,nc,nc
Mosman,Break and enter dwelling,63,57,63,68,62,200.8,Stable,Stable
Mosman,Break and enter non-dwelling,28,18,22,18,21,68,nc,nc
Mosman,Receiving or handling stolen goods,7,8,3,3,6,19.4,nc,nc
Mosman,Motor vehicle theft,19,18,24,15,19,61.5,nc,nc
Mosman,Steal from motor vehicle,74,91,69,79,89,288.2,Stable,Stable
Mosman,Steal from retail store,22,21,29,26,43,139.3,Up 65.4%,Up 18.2%
Mosman,Steal from dwelling,81,66,61,44,50,161.9,Stable,Down 11.4%
Mosman,Steal from person,11,6,5,5,4,13,nc,nc
Mosman,Stock theft,0,0,0,0,0,nc,nc,nc
Mosman,Fraud,104,115,116,130,130,421,Stable,Stable
Mosman,Other theft,71,62,49,58,64,207.3,Stable,Stable
Mosman,Arson,0,4,1,1,2,6.5,nc,nc
Mosman,Malicious damage to property,131,132,116,131,109,353,Stable,Stable
Mosman,Possession and/or use of cocaine,1,4,4,6,0,nc,nc,nc
Mosman,Possession and/or use of narcotics,0,0,1,0,0,nc,nc,nc
Mosman,Possession and/or use of cannabis,21,35,27,18,25,81,nc,nc
Mosman,Possession and/or use of amphetamines,0,4,2,0,6,19.4,nc,nc
Mosman,Possession and/or use of ecstasy,0,3,0,2,1,3.2,nc,nc
Mosman,Possession and/or use of other drugs,2,3,4,4,4,13,nc,nc
Mosman,"Dealing, trafficking in cocaine",1,3,1,2,0,nc,nc,nc
Mosman,"Dealing, trafficking in narcotics",1,1,0,0,0,nc,nc,nc
Mosman,"Dealing, trafficking in cannabis",0,0,0,0,1,3.2,nc,nc
Mosman,"Dealing, trafficking in amphetamines",1,0,1,0,0,nc,nc,nc
Mosman,"Dealing, trafficking in ecstasy",0,0,0,1,0,nc,nc,nc
Mosman,"Dealing, trafficking in other drugs",0,0,0,4,0,nc,nc,nc
Mosman,Cultivating cannabis,0,0,0,1,0,nc,nc,nc
Mosman,Manufacture drug,0,0,0,0,0,nc,nc,nc
Mosman,Importing drugs,0,0,0,0,1,3.2,nc,nc
Mosman,Other drug offences,6,10,9,6,4,13,nc,nc
Mosman,Prohibited and regulated weapons offences,10,12,7,6,15,48.6,nc,nc
Mosman,Trespass,16,20,10,13,26,84.2,nc,nc
Mosman,Offensive conduct,12,7,14,4,3,9.7,nc,nc
Mosman,Offensive language,2,2,3,2,1,3.2,nc,nc
Mosman,Criminal intent,2,3,3,2,2,6.5,nc,nc
Mosman,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Mosman,Liquor offences,27,6,20,20,12,38.9,nc,nc
Mosman,Pornography offences,0,1,0,0,2,6.5,nc,nc
Mosman,Prostitution offences,0,0,0,0,0,nc,nc,nc
Mosman,Escape custody,0,0,0,0,0,nc,nc,nc
Mosman,Breach Apprehended Violence Order,11,13,16,15,9,29.1,nc,nc
Mosman,Breach bail conditions,26,20,24,33,17,55.1,nc,nc
Mosman,Fail to appear,5,0,0,0,0,nc,nc,nc
Mosman,Resist or hinder officer,3,6,6,2,1,3.2,nc,nc
Mosman,Other offences against justice procedures,0,0,0,0,1,3.2,nc,nc
Mosman,Transport regulatory offences,4,5,21,16,12,38.9,nc,nc
Mosman,Other offences,107,101,118,87,46,149,Stable,Down 19.0%
Murray River,Murder *,0,1,0,0,0,nc,nc,nc
Murray River,Attempted murder,0,0,0,0,0,nc,nc,nc
Murray River,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Murray River,Manslaughter *,0,0,0,0,0,nc,nc,nc
Fairfield,Domestic violence related assault,791,703,720,781,714,339,Stable,Stable
Murray River,Non-domestic violence related assault,26,28,26,22,24,198.1,Stable,Stable
Murray River,Assault Police,0,1,1,0,1,8.3,nc,nc
Murray River,Sexual assault,5,5,3,10,9,74.3,nc,nc
Murray River,"Indecent assault, act of indecency and other sexual offences",6,1,2,12,10,82.5,nc,nc
Murray River,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Murray River,Robbery without a weapon,1,2,0,1,0,nc,nc,nc
Murray River,Robbery with a firearm,1,0,0,1,0,nc,nc,nc
Murray River,Robbery with a weapon not a firearm,0,1,0,1,0,nc,nc,nc
Murray River,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Murray River,"Intimidation, stalking and harassment",23,19,31,22,18,148.5,nc,nc
Murray River,Other offences against the person,0,0,1,2,5,41.3,nc,nc
Murray River,Break and enter dwelling,39,44,25,44,16,132,nc,nc
Murray River,Break and enter non-dwelling,47,53,30,40,21,173.3,Stable,Down 18.2%
Murray River,Receiving or handling stolen goods,10,13,5,6,4,33,nc,nc
Murray River,Motor vehicle theft,14,20,11,27,18,148.5,nc,nc
Murray River,Steal from motor vehicle,55,37,56,31,40,330.1,Stable,Stable
Murray River,Steal from retail store,5,24,14,16,13,107.3,nc,nc
Murray River,Steal from dwelling,31,33,21,30,38,313.6,Stable,Stable
Murray River,Steal from person,1,2,1,1,0,nc,nc,nc
Murray River,Stock theft,3,2,1,5,1,8.3,nc,nc
Murray River,Fraud,31,41,31,33,38,313.6,Stable,Stable
Murray River,Other theft,61,61,60,54,54,445.6,Stable,Stable
Murray River,Arson,3,4,12,9,4,33,nc,nc
Murray River,Malicious damage to property,60,74,65,67,63,519.9,Stable,Stable
Murray River,Possession and/or use of cocaine,0,0,1,0,0,nc,nc,nc
Murray River,Possession and/or use of narcotics,0,0,2,1,0,nc,nc,nc
Murray River,Possession and/or use of cannabis,59,26,36,29,37,305.3,Stable,Stable
Murray River,Possession and/or use of amphetamines,11,14,10,18,13,107.3,nc,nc
Murray River,Possession and/or use of ecstasy,2,0,3,0,0,nc,nc,nc
Murray River,Possession and/or use of other drugs,4,1,9,4,7,57.8,nc,nc
Murray River,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Murray River,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Murray River,"Dealing, trafficking in cannabis",1,1,0,2,2,16.5,nc,nc
Murray River,"Dealing, trafficking in amphetamines",1,5,0,6,2,16.5,nc,nc
Murray River,"Dealing, trafficking in ecstasy",1,0,0,0,0,nc,nc,nc
Murray River,"Dealing, trafficking in other drugs",1,0,0,0,0,nc,nc,nc
Murray River,Cultivating cannabis,3,4,1,6,6,49.5,nc,nc
Murray River,Manufacture drug,0,0,0,0,0,nc,nc,nc
Murray River,Importing drugs,0,0,0,0,0,nc,nc,nc
Murray River,Other drug offences,35,30,26,34,22,181.5,Stable,Stable
Murray River,Prohibited and regulated weapons offences,24,34,20,48,28,231.1,Down 41.7%,Stable
Murray River,Trespass,17,30,28,27,19,156.8,nc,nc
Murray River,Offensive conduct,9,10,7,4,4,33,nc,nc
Murray River,Offensive language,5,3,4,5,2,16.5,nc,nc
Murray River,Criminal intent,2,0,2,0,0,nc,nc,nc
Murray River,Betting and gaming offences,0,4,7,17,3,24.8,nc,nc
Murray River,Liquor offences,25,37,17,22,33,272.3,Stable,nc
Murray River,Pornography offences,0,0,0,0,0,nc,nc,nc
Murray River,Prostitution offences,0,0,0,0,0,nc,nc,nc
Murray River,Escape custody,0,0,0,0,0,nc,nc,nc
Murray River,Breach Apprehended Violence Order,7,31,14,16,27,222.8,nc,nc
Murray River,Breach bail conditions,4,21,6,7,23,189.8,nc,nc
Murray River,Fail to appear,1,0,0,0,0,nc,nc,nc
Murray River,Resist or hinder officer,2,1,12,6,8,66,nc,nc
Murray River,Other offences against justice procedures,0,0,3,1,0,nc,nc,nc
Murray River,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Murray River,Other offences,31,34,36,30,34,280.6,Up 13.3%,Stable
Murrumbidgee,Murder *,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Attempted murder,0,0,0,0,0,nc,nc,nc
Murrumbidgee,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Murrumbidgee,Manslaughter *,0,0,0,0,0,nc,nc,nc
Bega Valley,Domestic violence related assault,119,102,104,95,114,331.9,Stable,Stable
Murrumbidgee,Non-domestic violence related assault,14,15,17,11,18,454.4,nc,nc
Murrumbidgee,Assault Police,1,0,0,0,0,nc,nc,nc
Murrumbidgee,Sexual assault,2,4,3,4,4,101,nc,nc
Murrumbidgee,"Indecent assault, act of indecency and other sexual offences",3,6,7,10,12,303,nc,nc
Murrumbidgee,Abduction and kidnapping,0,1,0,0,0,nc,nc,nc
Murrumbidgee,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Robbery with a weapon not a firearm,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Murrumbidgee,"Intimidation, stalking and harassment",14,13,19,17,26,656.4,nc,nc
Murrumbidgee,Other offences against the person,0,0,1,0,1,25.2,nc,nc
Murrumbidgee,Break and enter dwelling,8,6,13,11,16,403.9,nc,nc
Murrumbidgee,Break and enter non-dwelling,5,19,8,8,13,328.2,nc,nc
Murrumbidgee,Receiving or handling stolen goods,0,1,3,6,7,176.7,nc,nc
Murrumbidgee,Motor vehicle theft,3,8,6,7,9,227.2,nc,nc
Murrumbidgee,Steal from motor vehicle,15,10,8,10,10,252.5,nc,nc
Murrumbidgee,Steal from retail store,5,1,2,2,4,101,nc,nc
Murrumbidgee,Steal from dwelling,11,15,9,7,12,303,nc,nc
Murrumbidgee,Steal from person,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Stock theft,3,4,0,2,3,75.7,nc,nc
Murrumbidgee,Fraud,7,7,8,17,16,403.9,nc,nc
Murrumbidgee,Other theft,11,14,9,16,15,378.7,nc,nc
Murrumbidgee,Arson,1,1,6,0,6,151.5,nc,nc
Murrumbidgee,Malicious damage to property,34,27,35,25,30,757.4,Stable,Stable
Murrumbidgee,Possession and/or use of cocaine,0,0,0,0,1,25.2,nc,nc
Murrumbidgee,Possession and/or use of narcotics,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Possession and/or use of cannabis,3,9,6,9,7,176.7,nc,nc
Murrumbidgee,Possession and/or use of amphetamines,1,3,1,2,2,50.5,nc,nc
Murrumbidgee,Possession and/or use of ecstasy,0,0,1,1,0,nc,nc,nc
Murrumbidgee,Possession and/or use of other drugs,0,0,0,2,0,nc,nc,nc
Murrumbidgee,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Murrumbidgee,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Murrumbidgee,"Dealing, trafficking in cannabis",0,0,0,0,1,25.2,nc,nc
Murrumbidgee,"Dealing, trafficking in amphetamines",0,0,0,0,1,25.2,nc,nc
Murrumbidgee,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Murrumbidgee,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Murrumbidgee,Cultivating cannabis,2,2,3,3,2,50.5,nc,nc
Murrumbidgee,Manufacture drug,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Importing drugs,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Other drug offences,0,4,5,6,1,25.2,nc,nc
Murrumbidgee,Prohibited and regulated weapons offences,7,16,10,16,13,328.2,nc,nc
Murrumbidgee,Trespass,3,7,5,7,8,202,nc,nc
Murrumbidgee,Offensive conduct,2,3,2,0,5,126.2,nc,nc
Murrumbidgee,Offensive language,1,0,0,1,2,50.5,nc,nc
Murrumbidgee,Criminal intent,1,1,1,0,1,25.2,nc,nc
Murrumbidgee,Betting and gaming offences,1,0,0,1,0,nc,nc,nc
Murrumbidgee,Liquor offences,4,6,4,1,6,151.5,nc,nc
Murrumbidgee,Pornography offences,1,1,3,0,3,75.7,nc,nc
Murrumbidgee,Prostitution offences,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Escape custody,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Breach Apprehended Violence Order,9,12,21,13,9,227.2,nc,nc
Murrumbidgee,Breach bail conditions,5,13,6,6,8,202,nc,nc
Murrumbidgee,Fail to appear,0,0,0,1,0,nc,nc,nc
Murrumbidgee,Resist or hinder officer,0,0,0,2,2,50.5,nc,nc
Murrumbidgee,Other offences against justice procedures,0,0,0,1,1,25.2,nc,nc
Murrumbidgee,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Murrumbidgee,Other offences,6,6,10,4,16,403.9,nc,nc
Muswellbrook,Murder *,0,0,0,0,0,nc,nc,nc
Muswellbrook,Attempted murder,0,1,1,0,0,nc,nc,nc
Muswellbrook,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Muswellbrook,Manslaughter *,0,0,0,0,0,nc,nc,nc
Wollondilly,Domestic violence related assault,194,157,189,180,172,329.3,Stable,Stable
Muswellbrook,Non-domestic violence related assault,106,92,104,75,76,463.9,Stable,Down 8.0%
Muswellbrook,Assault Police,3,6,10,18,9,54.9,nc,nc
Muswellbrook,Sexual assault,16,17,24,26,27,164.8,Stable,nc
Muswellbrook,"Indecent assault, act of indecency and other sexual offences",29,23,24,24,26,158.7,Stable,Stable
Muswellbrook,Abduction and kidnapping,2,1,2,0,0,nc,nc,nc
Muswellbrook,Robbery without a weapon,6,0,4,2,0,nc,nc,nc
Muswellbrook,Robbery with a firearm,0,0,1,0,0,nc,nc,nc
Muswellbrook,Robbery with a weapon not a firearm,2,2,4,0,1,6.1,nc,nc
Muswellbrook,Blackmail and extortion,0,0,0,1,0,nc,nc,nc
Muswellbrook,"Intimidation, stalking and harassment",90,115,103,116,157,958.3,Up 35.3%,Up 14.9%
Muswellbrook,Other offences against the person,3,2,1,4,7,42.7,nc,nc
Muswellbrook,Break and enter dwelling,123,157,159,115,102,622.6,Stable,Stable
Muswellbrook,Break and enter non-dwelling,78,64,64,72,60,366.2,Stable,Stable
Muswellbrook,Receiving or handling stolen goods,24,29,24,22,29,177,Stable,Stable
Muswellbrook,Motor vehicle theft,48,65,30,41,35,213.6,Stable,Stable
Muswellbrook,Steal from motor vehicle,134,125,102,58,60,366.2,Stable,Down 18.2%
Muswellbrook,Steal from retail store,99,80,47,61,46,280.8,Stable,Down 17.4%
Muswellbrook,Steal from dwelling,79,80,62,83,98,598.2,Stable,Stable
Muswellbrook,Steal from person,10,6,7,10,5,30.5,nc,nc
Muswellbrook,Stock theft,1,0,1,3,1,6.1,nc,nc
Muswellbrook,Fraud,79,62,60,104,88,537.1,Stable,Stable
Muswellbrook,Other theft,85,64,59,50,77,470,Up 54.0%,Stable
Muswellbrook,Arson,28,38,40,35,33,201.4,Stable,Stable
Muswellbrook,Malicious damage to property,304,249,216,222,197,1202.5,Stable,Down 10.3%
Muswellbrook,Possession and/or use of cocaine,0,2,2,1,1,6.1,nc,nc
Muswellbrook,Possession and/or use of narcotics,0,1,1,1,0,nc,nc,nc
Muswellbrook,Possession and/or use of cannabis,67,52,66,46,60,366.2,Stable,Stable
Muswellbrook,Possession and/or use of amphetamines,46,26,28,30,43,262.5,Stable,Stable
Muswellbrook,Possession and/or use of ecstasy,2,2,2,2,4,24.4,nc,nc
Muswellbrook,Possession and/or use of other drugs,14,13,27,32,21,128.2,Stable,nc
Muswellbrook,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Muswellbrook,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Muswellbrook,"Dealing, trafficking in cannabis",0,0,2,0,0,nc,nc,nc
Muswellbrook,"Dealing, trafficking in amphetamines",9,2,6,4,14,85.5,nc,nc
Muswellbrook,"Dealing, trafficking in ecstasy",1,0,0,1,6,36.6,nc,nc
Muswellbrook,"Dealing, trafficking in other drugs",0,0,1,0,0,nc,nc,nc
Muswellbrook,Cultivating cannabis,5,8,5,2,2,12.2,nc,nc
Muswellbrook,Manufacture drug,0,0,0,0,0,nc,nc,nc
Muswellbrook,Importing drugs,0,0,0,0,0,nc,nc,nc
Muswellbrook,Other drug offences,30,10,13,17,14,85.5,nc,nc
Muswellbrook,Prohibited and regulated weapons offences,94,98,69,101,102,622.6,Stable,Stable
Muswellbrook,Trespass,59,34,31,38,28,170.9,Stable,Down 17.0%
Muswellbrook,Offensive conduct,20,12,11,5,8,48.8,nc,nc
Muswellbrook,Offensive language,15,5,12,10,5,30.5,nc,nc
Muswellbrook,Criminal intent,6,9,8,12,3,18.3,nc,nc
Muswellbrook,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Muswellbrook,Liquor offences,11,22,36,52,11,67.1,nc,nc
Muswellbrook,Pornography offences,3,0,1,2,0,nc,nc,nc
Muswellbrook,Prostitution offences,0,0,0,0,0,nc,nc,nc
Muswellbrook,Escape custody,1,1,0,0,0,nc,nc,nc
Muswellbrook,Breach Apprehended Violence Order,76,67,81,82,85,518.8,Stable,Stable
Muswellbrook,Breach bail conditions,149,154,126,242,173,1056,Down 28.5%,Stable
Muswellbrook,Fail to appear,0,6,2,2,2,12.2,nc,nc
Muswellbrook,Resist or hinder officer,14,19,30,37,26,158.7,Stable,nc
Muswellbrook,Other offences against justice procedures,1,5,1,1,8,48.8,nc,nc
Muswellbrook,Transport regulatory offences,0,43,81,42,119,726.4,Stable,nc
Muswellbrook,Other offences,65,66,53,62,40,244.2,Stable,Down 11.4%
Nambucca,Murder *,0,0,0,1,0,nc,nc,nc
Nambucca,Attempted murder,0,0,0,0,0,nc,nc,nc
Nambucca,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Nambucca,Manslaughter *,0,0,0,1,2,10.1,nc,nc
Federation,Domestic violence related assault,40,29,25,29,39,313,Up 34.5%,Stable
Nambucca,Non-domestic violence related assault,89,135,95,159,116,586.7,Stable,Stable
Nambucca,Assault Police,7,6,4,8,3,15.2,nc,nc
Nambucca,Sexual assault,36,27,28,49,22,111.3,Stable,Stable
Nambucca,"Indecent assault, act of indecency and other sexual offences",25,46,43,41,38,192.2,Stable,Stable
Nambucca,Abduction and kidnapping,0,1,1,0,0,nc,nc,nc
Nambucca,Robbery without a weapon,0,1,1,2,1,5.1,nc,nc
Nambucca,Robbery with a firearm,1,0,0,0,0,nc,nc,nc
Nambucca,Robbery with a weapon not a firearm,4,4,2,3,1,5.1,nc,nc
Nambucca,Blackmail and extortion,0,1,0,0,0,nc,nc,nc
Nambucca,"Intimidation, stalking and harassment",101,124,103,115,117,591.7,Stable,Stable
Nambucca,Other offences against the person,5,6,1,2,5,25.3,nc,nc
Nambucca,Break and enter dwelling,139,88,132,134,112,566.4,Stable,Stable
Nambucca,Break and enter non-dwelling,50,59,115,109,54,273.1,Down 50.5%,Stable
Nambucca,Receiving or handling stolen goods,16,11,10,18,4,20.2,nc,nc
Nambucca,Motor vehicle theft,61,46,43,49,65,328.7,Stable,Stable
Nambucca,Steal from motor vehicle,95,114,145,139,160,809.2,Stable,Up 13.9%
Nambucca,Steal from retail store,34,59,68,97,87,440,Stable,Up 26.5%
Nambucca,Steal from dwelling,84,73,75,85,85,429.9,Stable,Stable
Nambucca,Steal from person,3,8,6,8,4,20.2,nc,nc
Nambucca,Stock theft,1,0,2,0,1,5.1,nc,nc
Nambucca,Fraud,57,104,88,177,134,677.7,Stable,Up 23.8%
Nambucca,Other theft,99,95,80,97,106,536.1,Stable,Stable
Nambucca,Arson,30,18,28,37,53,268,Stable,nc
Nambucca,Malicious damage to property,195,257,257,227,296,1497,Up 30.4%,Up 11.0%
Nambucca,Possession and/or use of cocaine,0,0,0,0,0,nc,nc,nc
Nambucca,Possession and/or use of narcotics,0,0,2,2,1,5.1,nc,nc
Nambucca,Possession and/or use of cannabis,46,55,51,33,31,156.8,Stable,Down 9.4%
Nambucca,Possession and/or use of amphetamines,14,15,26,9,15,75.9,nc,nc
Nambucca,Possession and/or use of ecstasy,0,5,0,0,3,15.2,nc,nc
Nambucca,Possession and/or use of other drugs,10,9,6,3,6,30.3,nc,nc
Nambucca,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Nambucca,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Nambucca,"Dealing, trafficking in cannabis",4,3,0,1,0,nc,nc,nc
Nambucca,"Dealing, trafficking in amphetamines",5,1,1,2,1,5.1,nc,nc
Nambucca,"Dealing, trafficking in ecstasy",2,0,2,0,1,5.1,nc,nc
Nambucca,"Dealing, trafficking in other drugs",1,0,0,0,0,nc,nc,nc
Nambucca,Cultivating cannabis,23,18,14,10,12,60.7,nc,nc
Nambucca,Manufacture drug,1,0,0,0,0,nc,nc,nc
Nambucca,Importing drugs,0,0,0,0,0,nc,nc,nc
Nambucca,Other drug offences,12,2,8,4,7,35.4,nc,nc
Nambucca,Prohibited and regulated weapons offences,44,37,49,31,41,207.4,Stable,Stable
Nambucca,Trespass,31,33,56,36,61,308.5,Up 69.4%,Up 18.4%
Nambucca,Offensive conduct,6,12,10,21,18,91,nc,nc
Nambucca,Offensive language,16,16,16,8,12,60.7,nc,nc
Nambucca,Criminal intent,13,2,9,10,15,75.9,nc,nc
Nambucca,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Nambucca,Liquor offences,11,31,34,26,39,197.2,Stable,nc
Nambucca,Pornography offences,2,1,3,4,1,5.1,nc,nc
Nambucca,Prostitution offences,0,0,0,0,0,nc,nc,nc
Nambucca,Escape custody,0,0,0,2,0,nc,nc,nc
Nambucca,Breach Apprehended Violence Order,74,82,79,70,109,551.3,Up 55.7%,Up 10.2%
Nambucca,Breach bail conditions,108,95,87,76,66,333.8,Stable,Down 11.6%
Nambucca,Fail to appear,0,0,0,0,2,10.1,nc,nc
Nambucca,Resist or hinder officer,29,13,14,13,11,55.6,nc,nc
Nambucca,Other offences against justice procedures,0,1,2,3,18,91,nc,nc
Nambucca,Transport regulatory offences,3,2,6,1,2,10.1,nc,nc
Nambucca,Other offences,70,85,68,66,43,217.5,Stable,Stable
Narrabri,Murder *,0,0,1,0,0,nc,nc,nc
Narrabri,Attempted murder,0,0,0,0,0,nc,nc,nc
Narrabri,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Narrabri,Manslaughter *,0,0,0,0,0,nc,nc,nc
Wollongong,Domestic violence related assault,780,751,619,688,676,312.9,Stable,Stable
Narrabri,Non-domestic violence related assault,87,88,85,69,66,498.8,Stable,Stable
Narrabri,Assault Police,9,8,6,4,2,15.1,nc,nc
Narrabri,Sexual assault,10,16,13,24,18,136,nc,nc
Narrabri,"Indecent assault, act of indecency and other sexual offences",12,10,10,18,11,83.1,nc,nc
Narrabri,Abduction and kidnapping,0,1,0,0,0,nc,nc,nc
Narrabri,Robbery without a weapon,2,0,1,0,1,7.6,nc,nc
Narrabri,Robbery with a firearm,1,0,0,0,0,nc,nc,nc
Narrabri,Robbery with a weapon not a firearm,1,1,0,0,2,15.1,nc,nc
Narrabri,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Narrabri,"Intimidation, stalking and harassment",82,98,93,80,93,702.9,Stable,Stable
Narrabri,Other offences against the person,10,5,2,2,3,22.7,nc,nc
Narrabri,Break and enter dwelling,109,92,56,115,87,657.5,Stable,Stable
Narrabri,Break and enter non-dwelling,58,42,26,29,47,355.2,Stable,Stable
Narrabri,Receiving or handling stolen goods,15,9,1,13,14,105.8,nc,nc
Narrabri,Motor vehicle theft,28,41,25,30,31,234.3,Stable,Stable
Narrabri,Steal from motor vehicle,105,67,79,86,60,453.5,Down 30.2%,Stable
Narrabri,Steal from retail store,35,37,21,23,43,325,Stable,Stable
Narrabri,Steal from dwelling,53,75,59,52,48,362.8,Stable,Stable
Narrabri,Steal from person,1,3,2,0,3,22.7,nc,nc
Narrabri,Stock theft,4,4,3,6,3,22.7,nc,nc
Narrabri,Fraud,48,48,76,47,60,453.5,Stable,Stable
Narrabri,Other theft,74,68,50,46,36,272.1,Stable,Down 16.5%
Narrabri,Arson,19,23,23,14,9,68,nc,nc
Narrabri,Malicious damage to property,218,205,170,119,114,861.6,Stable,Down 15.0%
Narrabri,Possession and/or use of cocaine,0,0,0,0,1,7.6,nc,nc
Narrabri,Possession and/or use of narcotics,0,0,0,2,3,22.7,nc,nc
Narrabri,Possession and/or use of cannabis,44,37,18,35,33,249.4,Stable,nc
Narrabri,Possession and/or use of amphetamines,16,13,7,10,4,30.2,nc,nc
Narrabri,Possession and/or use of ecstasy,0,1,0,0,0,nc,nc,nc
Narrabri,Possession and/or use of other drugs,14,8,1,1,2,15.1,nc,nc
Narrabri,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Narrabri,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Narrabri,"Dealing, trafficking in cannabis",2,1,1,4,4,30.2,nc,nc
Narrabri,"Dealing, trafficking in amphetamines",1,3,0,1,4,30.2,nc,nc
Narrabri,"Dealing, trafficking in ecstasy",2,0,0,0,0,nc,nc,nc
Narrabri,"Dealing, trafficking in other drugs",1,0,0,2,0,nc,nc,nc
Narrabri,Cultivating cannabis,4,6,2,7,2,15.1,nc,nc
Narrabri,Manufacture drug,0,0,0,0,0,nc,nc,nc
Narrabri,Importing drugs,0,0,0,0,0,nc,nc,nc
Narrabri,Other drug offences,24,18,3,9,8,60.5,nc,nc
Narrabri,Prohibited and regulated weapons offences,40,44,34,57,69,521.5,Stable,Stable
Narrabri,Trespass,64,43,39,53,34,257,Stable,Stable
Narrabri,Offensive conduct,36,26,13,12,8,60.5,nc,nc
Narrabri,Offensive language,33,25,11,10,5,37.8,nc,nc
Narrabri,Criminal intent,10,8,1,7,8,60.5,nc,nc
Narrabri,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Narrabri,Liquor offences,34,21,15,6,13,98.3,nc,nc
Narrabri,Pornography offences,0,1,1,0,1,7.6,nc,nc
Narrabri,Prostitution offences,0,0,0,0,0,nc,nc,nc
Narrabri,Escape custody,0,3,0,1,1,7.6,nc,nc
Narrabri,Breach Apprehended Violence Order,43,54,56,64,71,536.6,Up 10.9%,Up 13.4%
Narrabri,Breach bail conditions,121,98,41,103,68,513.9,Stable,Stable
Narrabri,Fail to appear,1,1,0,0,1,7.6,nc,nc
