"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Mid-Western Regional LGA, Persons, 2016 and 2031*, 65+, , , ,"4,616", , ,"6,617", 
 Mid-Western Regional LGA, Persons, 2016 and 2031*, All ages, , , ,"24,569", , ,"25,680", 
 Mid-Western Regional LGA, Persons, 2016 and 2036*, 0-14, , , ,"5,088", , , ,"4,642"
 Mid-Western Regional LGA, Persons, 2016 and 2036*, 15-44, , , ,"8,268", , , ,"7,759"
 Mid-Western Regional LGA, Persons, 2016 and 2036*, 45-64, , , ,"6,597", , , ,"6,485"
 Mid-Western Regional LGA, Persons, 2016 and 2036*, 65+, , , ,"4,616", , , ,"7,089"
 Mid-Western Regional LGA, Persons, 2016 and 2036*, All ages, , , ,"24,569", , , ,"25,976"
 Moree Plains LGA, Persons, 2001 and 2016, 0-14,"4,021", , ,"3,060", , , , 
 Moree Plains LGA, Persons, 2001 and 2016, 15-44,"7,322", , ,"5,071", , , , 
 Moree Plains LGA, Persons, 2001 and 2016, 45-64,"3,446", , ,"3,455", , , , 
 Moree Plains LGA, Persons, 2001 and 2016, 65+,"1,319", , ,"2,004", , , , 
 Moree Plains LGA, Persons, 2001 and 2016, All ages,"16,108", , ,"13,590", , , , 
 Moree Plains LGA, Persons, 2006 and 2016, 0-14, ,"3,539", ,"3,060", , , , 
 Moree Plains LGA, Persons, 2006 and 2016, 15-44, ,"5,960", ,"5,071", , , , 
 Moree Plains LGA, Persons, 2006 and 2016, 45-64, ,"3,459", ,"3,455", , , , 
 Moree Plains LGA, Persons, 2006 and 2016, 65+, ,"1,449", ,"2,004", , , , 
 Moree Plains LGA, Persons, 2006 and 2016, All ages, ,"14,407", ,"13,590", , , , 
 Moree Plains LGA, Persons, 2011 and 2016, 0-14, , ,"3,314","3,060", , , , 
 Moree Plains LGA, Persons, 2011 and 2016, 15-44, , ,"5,613","5,071", , , , 
 Moree Plains LGA, Persons, 2011 and 2016, 45-64, , ,"3,420","3,455", , , , 
 Moree Plains LGA, Persons, 2011 and 2016, 65+, , ,"1,696","2,004", , , , 
 Moree Plains LGA, Persons, 2011 and 2016, All ages, , ,"14,043","13,590", , , , 
 Moree Plains LGA, Persons, 2016 and 2021*, 0-14, , , ,"3,060","2,938", , , 
 Moree Plains LGA, Persons, 2016 and 2021*, 15-44, , , ,"5,071","4,863", , , 
 Moree Plains LGA, Persons, 2016 and 2021*, 45-64, , , ,"3,455","3,289", , , 
 Moree Plains LGA, Persons, 2016 and 2021*, 65+, , , ,"2,004","2,165", , , 
 Moree Plains LGA, Persons, 2016 and 2021*, All ages, , , ,"13,590","13,256", , , 
 Moree Plains LGA, Persons, 2016 and 2026*, 0-14, , , ,"3,060", ,"2,717", , 
 Moree Plains LGA, Persons, 2016 and 2026*, 15-44, , , ,"5,071", ,"4,535", , 
 Moree Plains LGA, Persons, 2016 and 2026*, 45-64, , , ,"3,455", ,"3,005", , 
 Moree Plains LGA, Persons, 2016 and 2026*, 65+, , , ,"2,004", ,"2,389", , 
 Moree Plains LGA, Persons, 2016 and 2026*, All ages, , , ,"13,590", ,"12,647", , 
 Moree Plains LGA, Persons, 2016 and 2031*, 0-14, , , ,"3,060", , ,"2,473", 
 Moree Plains LGA, Persons, 2016 and 2031*, 15-44, , , ,"5,071", , ,"4,162", 
 Moree Plains LGA, Persons, 2016 and 2031*, 45-64, , , ,"3,455", , ,"2,786", 
 Moree Plains LGA, Persons, 2016 and 2031*, 65+, , , ,"2,004", , ,"2,504", 
 Moree Plains LGA, Persons, 2016 and 2031*, All ages, , , ,"13,590", , ,"11,925", 
 Moree Plains LGA, Persons, 2016 and 2036*, 0-14, , , ,"3,060", , , ,"2,228"
 Moree Plains LGA, Persons, 2016 and 2036*, 15-44, , , ,"5,071", , , ,"3,747"
 Moree Plains LGA, Persons, 2016 and 2036*, 45-64, , , ,"3,455", , , ,"2,598"
 Moree Plains LGA, Persons, 2016 and 2036*, 65+, , , ,"2,004", , , ,"2,535"
 Moree Plains LGA, Persons, 2016 and 2036*, All ages, , , ,"13,590", , , ,"11,108"
 Mosman LGA, Persons, 2001 and 2016, 0-14,"4,492", , ,"5,319", , , , 
 Mosman LGA, Persons, 2001 and 2016, 15-44,"12,308", , ,"11,299", , , , 
 Mosman LGA, Persons, 2001 and 2016, 45-64,"7,032", , ,"8,016", , , , 
 Mosman LGA, Persons, 2001 and 2016, 65+,"3,848", , ,"5,581", , , , 
 Mosman LGA, Persons, 2001 and 2016, All ages,"27,680", , ,"30,215", , , , 
 Mosman LGA, Persons, 2006 and 2016, 0-14, ,"4,672", ,"5,319", , , , 
 Mosman LGA, Persons, 2006 and 2016, 15-44, ,"11,315", ,"11,299", , , , 
 Mosman LGA, Persons, 2006 and 2016, 45-64, ,"7,482", ,"8,016", , , , 
 Mosman LGA, Persons, 2006 and 2016, 65+, ,"4,101", ,"5,581", , , , 
 Mosman LGA, Persons, 2006 and 2016, All ages, ,"27,570", ,"30,215", , , , 
 Mosman LGA, Persons, 2011 and 2016, 0-14, , ,"5,186","5,319", , , , 
 Mosman LGA, Persons, 2011 and 2016, 15-44, , ,"11,581","11,299", , , , 
 Mosman LGA, Persons, 2011 and 2016, 45-64, , ,"7,755","8,016", , , , 
 Mosman LGA, Persons, 2011 and 2016, 65+, , ,"4,829","5,581", , , , 
 Mosman LGA, Persons, 2011 and 2016, All ages, , ,"29,351","30,215", , , , 
 Mosman LGA, Persons, 2016 and 2021*, 0-14, , , ,"5,319","5,448", , , 
 Mosman LGA, Persons, 2016 and 2021*, 15-44, , , ,"11,299","11,123", , , 
 Mosman LGA, Persons, 2016 and 2021*, 45-64, , , ,"8,016","8,100", , , 
 Mosman LGA, Persons, 2016 and 2021*, 65+, , , ,"5,581","6,144", , , 
 Mosman LGA, Persons, 2016 and 2021*, All ages, , , ,"30,215","30,815", , , 
 Mosman LGA, Persons, 2016 and 2026*, 0-14, , , ,"5,319", ,"5,409", , 
 Mosman LGA, Persons, 2016 and 2026*, 15-44, , , ,"11,299", ,"11,004", , 
 Mosman LGA, Persons, 2016 and 2026*, 45-64, , , ,"8,016", ,"8,012", , 
 Mosman LGA, Persons, 2016 and 2026*, 65+, , , ,"5,581", ,"6,719", , 
 Mosman LGA, Persons, 2016 and 2026*, All ages, , , ,"30,215", ,"31,145", , 
 Mosman LGA, Persons, 2016 and 2031*, 0-14, , , ,"5,319", , ,"5,361", 
 Mosman LGA, Persons, 2016 and 2031*, 15-44, , , ,"11,299", , ,"10,997", 
 Mosman LGA, Persons, 2016 and 2031*, 45-64, , , ,"8,016", , ,"8,040", 
 Mosman LGA, Persons, 2016 and 2031*, 65+, , , ,"5,581", , ,"7,277", 
 Mosman LGA, Persons, 2016 and 2031*, All ages, , , ,"30,215", , ,"31,674", 
 Mosman LGA, Persons, 2016 and 2036*, 0-14, , , ,"5,319", , , ,"5,328"
 Mosman LGA, Persons, 2016 and 2036*, 15-44, , , ,"11,299", , , ,"11,057"
 Mosman LGA, Persons, 2016 and 2036*, 45-64, , , ,"8,016", , , ,"8,067"
 Mosman LGA, Persons, 2016 and 2036*, 65+, , , ,"5,581", , , ,"7,791"
 Mosman LGA, Persons, 2016 and 2036*, All ages, , , ,"30,215", , , ,"32,243"
 Murray River LGA, Persons, 2001 and 2016, 0-14,"2,407", , ,"2,038", , , , 
 Murray River LGA, Persons, 2001 and 2016, 15-44,"4,042", , ,"3,390", , , , 
 Murray River LGA, Persons, 2001 and 2016, 45-64,"2,787", , ,"3,336", , , , 
 Murray River LGA, Persons, 2001 and 2016, 65+,"1,761", , ,"3,123", , , , 
 Murray River LGA, Persons, 2001 and 2016, All ages,"10,997", , ,"11,887", , , , 
 Murray River LGA, Persons, 2006 and 2016, 0-14, ,"2,129", ,"2,038", , , , 
 Murray River LGA, Persons, 2006 and 2016, 15-44, ,"3,599", ,"3,390", , , , 
 Murray River LGA, Persons, 2006 and 2016, 45-64, ,"3,167", ,"3,336", , , , 
 Murray River LGA, Persons, 2006 and 2016, 65+, ,"2,125", ,"3,123", , , , 
 Murray River LGA, Persons, 2006 and 2016, All ages, ,"11,020", ,"11,887", , , , 
 Murray River LGA, Persons, 2011 and 2016, 0-14, , ,"1,958","2,038", , , , 
 Murray River LGA, Persons, 2011 and 2016, 15-44, , ,"3,377","3,390", , , , 
 Murray River LGA, Persons, 2011 and 2016, 45-64, , ,"3,316","3,336", , , , 
 Murray River LGA, Persons, 2011 and 2016, 65+, , ,"2,606","3,123", , , , 
 Murray River LGA, Persons, 2011 and 2016, All ages, , ,"11,257","11,887", , , , 
 Murray River LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,038","1,839", , , 
 Murray River LGA, Persons, 2016 and 2021*, 15-44, , , ,"3,390","3,119", , , 
 Murray River LGA, Persons, 2016 and 2021*, 45-64, , , ,"3,336","3,291", , , 
 Murray River LGA, Persons, 2016 and 2021*, 65+, , , ,"3,123","3,638", , , 
 Murray River LGA, Persons, 2016 and 2021*, All ages, , , ,"11,887","11,886", , , 
 Murray River LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,038", ,"1,793", , 
 Murray River LGA, Persons, 2016 and 2026*, 15-44, , , ,"3,390", ,"3,053", , 
 Murray River LGA, Persons, 2016 and 2026*, 45-64, , , ,"3,336", ,"3,129", , 
 Murray River LGA, Persons, 2016 and 2026*, 65+, , , ,"3,123", ,"4,147", , 
 Murray River LGA, Persons, 2016 and 2026*, All ages, , , ,"11,887", ,"12,122", , 
 Murray River LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,038", , ,"1,747", 
 Murray River LGA, Persons, 2016 and 2031*, 15-44, , , ,"3,390", , ,"2,939", 
 Murray River LGA, Persons, 2016 and 2031*, 45-64, , , ,"3,336", , ,"3,100", 
 Murray River LGA, Persons, 2016 and 2031*, 65+, , , ,"3,123", , ,"4,507", 
 Murray River LGA, Persons, 2016 and 2031*, All ages, , , ,"11,887", , ,"12,293", 
 Murray River LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,038", , , ,"1,698"
 Murray River LGA, Persons, 2016 and 2036*, 15-44, , , ,"3,390", , , ,"2,826"
 Murray River LGA, Persons, 2016 and 2036*, 45-64, , , ,"3,336", , , ,"3,095"
 Murray River LGA, Persons, 2016 and 2036*, 65+, , , ,"3,123", , , ,"4,787"
 Murray River LGA, Persons, 2016 and 2036*, All ages, , , ,"11,887", , , ,"12,406"
 Murrumbidgee LGA, Persons, 2001 and 2016, 0-14,"1,082", , ,803, , , , 
 Murrumbidgee LGA, Persons, 2001 and 2016, 15-44,"1,869", , ,"1,339", , , , 
 Murrumbidgee LGA, Persons, 2001 and 2016, 45-64,"1,080", , ,"1,083", , , , 
 Murrumbidgee LGA, Persons, 2001 and 2016, 65+,517, , ,708, , , , 
 Murrumbidgee LGA, Persons, 2001 and 2016, All ages,"4,548", , ,"3,933", , , , 
 Murrumbidgee LGA, Persons, 2006 and 2016, 0-14, ,955, ,803, , , , 
 Murrumbidgee LGA, Persons, 2006 and 2016, 15-44, ,"1,540", ,"1,339", , , , 
 Murrumbidgee LGA, Persons, 2006 and 2016, 45-64, ,"1,113", ,"1,083", , , , 
 Murrumbidgee LGA, Persons, 2006 and 2016, 65+, ,611, ,708, , , , 
 Murrumbidgee LGA, Persons, 2006 and 2016, All ages, ,"4,219", ,"3,933", , , , 
 Murrumbidgee LGA, Persons, 2011 and 2016, 0-14, , ,798,803, , , , 
 Murrumbidgee LGA, Persons, 2011 and 2016, 15-44, , ,"1,313","1,339", , , , 
 Murrumbidgee LGA, Persons, 2011 and 2016, 45-64, , ,"1,098","1,083", , , , 
 Murrumbidgee LGA, Persons, 2011 and 2016, 65+, , ,679,708, , , , 
 Murrumbidgee LGA, Persons, 2011 and 2016, All ages, , ,"3,888","3,933", , , , 
 Murrumbidgee LGA, Persons, 2016 and 2021*, 0-14, , , ,803,669, , , 
 Murrumbidgee LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,339","1,072", , , 
 Murrumbidgee LGA, Persons, 2016 and 2021*, 45-64, , , ,"1,083",988, , , 
 Murrumbidgee LGA, Persons, 2016 and 2021*, 65+, , , ,708,831, , , 
 Murrumbidgee LGA, Persons, 2016 and 2021*, All ages, , , ,"3,933","3,559", , , 
 Murrumbidgee LGA, Persons, 2016 and 2026*, 0-14, , , ,803, ,623, , 
 Murrumbidgee LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,339", ,999, , 
 Murrumbidgee LGA, Persons, 2016 and 2026*, 45-64, , , ,"1,083", ,871, , 
 Murrumbidgee LGA, Persons, 2016 and 2026*, 65+, , , ,708, ,928, , 
 Murrumbidgee LGA, Persons, 2016 and 2026*, All ages, , , ,"3,933", ,"3,422", , 
 Murrumbidgee LGA, Persons, 2016 and 2031*, 0-14, , , ,803, , ,590, 
 Murrumbidgee LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,339", , ,929, 
 Murrumbidgee LGA, Persons, 2016 and 2031*, 45-64, , , ,"1,083", , ,794, 
 Murrumbidgee LGA, Persons, 2016 and 2031*, 65+, , , ,708, , ,975, 
 Murrumbidgee LGA, Persons, 2016 and 2031*, All ages, , , ,"3,933", , ,"3,288", 
 Murrumbidgee LGA, Persons, 2016 and 2036*, 0-14, , , ,803, , , ,554
 Murrumbidgee LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,339", , , ,857
 Murrumbidgee LGA, Persons, 2016 and 2036*, 45-64, , , ,"1,083", , , ,762
 Murrumbidgee LGA, Persons, 2016 and 2036*, 65+, , , ,708, , , ,987
 Murrumbidgee LGA, Persons, 2016 and 2036*, All ages, , , ,"3,933", , , ,"3,160"
 Muswellbrook LGA, Persons, 2001 and 2016, 0-14,"3,735", , ,"3,821", , , , 
 Muswellbrook LGA, Persons, 2001 and 2016, 15-44,"6,595", , ,"6,576", , , , 
 Muswellbrook LGA, Persons, 2001 and 2016, 45-64,"3,349", , ,"4,052", , , , 
 Muswellbrook LGA, Persons, 2001 and 2016, 65+,"1,420", , ,"2,019", , , , 
 Muswellbrook LGA, Persons, 2001 and 2016, All ages,"15,099", , ,"16,468", , , , 
 Muswellbrook LGA, Persons, 2006 and 2016, 0-14, ,"3,740", ,"3,821", , , , 
 Muswellbrook LGA, Persons, 2006 and 2016, 15-44, ,"6,720", ,"6,576", , , , 
 Muswellbrook LGA, Persons, 2006 and 2016, 45-64, ,"3,624", ,"4,052", , , , 
 Muswellbrook LGA, Persons, 2006 and 2016, 65+, ,"1,555", ,"2,019", , , , 
 Muswellbrook LGA, Persons, 2006 and 2016, All ages, ,"15,639", ,"16,468", , , , 
 Muswellbrook LGA, Persons, 2011 and 2016, 0-14, , ,"3,697","3,821", , , , 
 Muswellbrook LGA, Persons, 2011 and 2016, 15-44, , ,"7,015","6,576", , , , 
 Muswellbrook LGA, Persons, 2011 and 2016, 45-64, , ,"3,919","4,052", , , , 
 Muswellbrook LGA, Persons, 2011 and 2016, 65+, , ,"1,697","2,019", , , , 
 Muswellbrook LGA, Persons, 2011 and 2016, All ages, , ,"16,328","16,468", , , , 
 Muswellbrook LGA, Persons, 2016 and 2021*, 0-14, , , ,"3,821","4,043", , , 
 Muswellbrook LGA, Persons, 2016 and 2021*, 15-44, , , ,"6,576","7,401", , , 
 Muswellbrook LGA, Persons, 2016 and 2021*, 45-64, , , ,"4,052","4,224", , , 
 Muswellbrook LGA, Persons, 2016 and 2021*, 65+, , , ,"2,019","2,338", , , 
 Muswellbrook LGA, Persons, 2016 and 2021*, All ages, , , ,"16,468","18,006", , , 
 Muswellbrook LGA, Persons, 2016 and 2026*, 0-14, , , ,"3,821", ,"4,204", , 
 Muswellbrook LGA, Persons, 2016 and 2026*, 15-44, , , ,"6,576", ,"7,630", , 
 Muswellbrook LGA, Persons, 2016 and 2026*, 45-64, , , ,"4,052", ,"4,292", , 
 Muswellbrook LGA, Persons, 2016 and 2026*, 65+, , , ,"2,019", ,"2,680", , 
 Muswellbrook LGA, Persons, 2016 and 2026*, All ages, , , ,"16,468", ,"18,806", , 
 Muswellbrook LGA, Persons, 2016 and 2031*, 0-14, , , ,"3,821", , ,"4,316", 
 Muswellbrook LGA, Persons, 2016 and 2031*, 15-44, , , ,"6,576", , ,"7,768", 
 Muswellbrook LGA, Persons, 2016 and 2031*, 45-64, , , ,"4,052", , ,"4,466", 
 Muswellbrook LGA, Persons, 2016 and 2031*, 65+, , , ,"2,019", , ,"3,024", 
 Muswellbrook LGA, Persons, 2016 and 2031*, All ages, , , ,"16,468", , ,"19,573", 
 Muswellbrook LGA, Persons, 2016 and 2036*, 0-14, , , ,"3,821", , , ,"4,398"
 Muswellbrook LGA, Persons, 2016 and 2036*, 15-44, , , ,"6,576", , , ,"7,886"
 Muswellbrook LGA, Persons, 2016 and 2036*, 45-64, , , ,"4,052", , , ,"4,746"
 Muswellbrook LGA, Persons, 2016 and 2036*, 65+, , , ,"2,019", , , ,"3,290"
 Muswellbrook LGA, Persons, 2016 and 2036*, All ages, , , ,"16,468", , , ,"20,320"
 Nambucca LGA, Persons, 2001 and 2016, 0-14,"3,765", , ,"3,335", , , , 
 Nambucca LGA, Persons, 2001 and 2016, 15-44,"5,896", , ,"5,231", , , , 
 Nambucca LGA, Persons, 2001 and 2016, 45-64,"4,710", , ,"5,753", , , , 
 Nambucca LGA, Persons, 2001 and 2016, 65+,"3,655", , ,"5,202", , , , 
 Nambucca LGA, Persons, 2001 and 2016, All ages,"18,026", , ,"19,521", , , , 
 Nambucca LGA, Persons, 2006 and 2016, 0-14, ,"3,391", ,"3,335", , , , 
 Nambucca LGA, Persons, 2006 and 2016, 15-44, ,"5,369", ,"5,231", , , , 
 Nambucca LGA, Persons, 2006 and 2016, 45-64, ,"5,488", ,"5,753", , , , 
 Nambucca LGA, Persons, 2006 and 2016, 65+, ,"4,051", ,"5,202", , , , 
 Nambucca LGA, Persons, 2006 and 2016, All ages, ,"18,299", ,"19,521", , , , 
 Nambucca LGA, Persons, 2011 and 2016, 0-14, , ,"3,444","3,335", , , , 
 Nambucca LGA, Persons, 2011 and 2016, 15-44, , ,"5,205","5,231", , , , 
 Nambucca LGA, Persons, 2011 and 2016, 45-64, , ,"5,946","5,753", , , , 
 Nambucca LGA, Persons, 2011 and 2016, 65+, , ,"4,640","5,202", , , , 
 Nambucca LGA, Persons, 2011 and 2016, All ages, , ,"19,235","19,521", , , , 
 Nambucca LGA, Persons, 2016 and 2021*, 0-14, , , ,"3,335","3,424", , , 
 Nambucca LGA, Persons, 2016 and 2021*, 15-44, , , ,"5,231","4,894", , , 
 Nambucca LGA, Persons, 2016 and 2021*, 45-64, , , ,"5,753","5,748", , , 
 Nambucca LGA, Persons, 2016 and 2021*, 65+, , , ,"5,202","6,170", , , 
 Nambucca LGA, Persons, 2016 and 2021*, All ages, , , ,"19,521","20,237", , , 
 Nambucca LGA, Persons, 2016 and 2026*, 0-14, , , ,"3,335", ,"3,337", , 
 Nambucca LGA, Persons, 2016 and 2026*, 15-44, , , ,"5,231", ,"4,875", , 
 Nambucca LGA, Persons, 2016 and 2026*, 45-64, , , ,"5,753", ,"5,311", , 
 Nambucca LGA, Persons, 2016 and 2026*, 65+, , , ,"5,202", ,"7,048", , 
 Nambucca LGA, Persons, 2016 and 2026*, All ages, , , ,"19,521", ,"20,572", , 
 Nambucca LGA, Persons, 2016 and 2031*, 0-14, , , ,"3,335", , ,"3,236", 
 Nambucca LGA, Persons, 2016 and 2031*, 15-44, , , ,"5,231", , ,"4,694", 
 Nambucca LGA, Persons, 2016 and 2031*, 45-64, , , ,"5,753", , ,"5,232", 
 Nambucca LGA, Persons, 2016 and 2031*, 65+, , , ,"5,202", , ,"7,626", 
 Nambucca LGA, Persons, 2016 and 2031*, All ages, , , ,"19,521", , ,"20,787", 
 Nambucca LGA, Persons, 2016 and 2036*, 0-14, , , ,"3,335", , , ,"3,123"
 Nambucca LGA, Persons, 2016 and 2036*, 15-44, , , ,"5,231", , , ,"4,478"
 Nambucca LGA, Persons, 2016 and 2036*, 45-64, , , ,"5,753", , , ,"5,264"
 Nambucca LGA, Persons, 2016 and 2036*, 65+, , , ,"5,202", , , ,"8,006"
 Nambucca LGA, Persons, 2016 and 2036*, All ages, , , ,"19,521", , , ,"20,871"
 Narrabri LGA, Persons, 2001 and 2016, 0-14,"3,322", , ,"2,968", , , , 
 Narrabri LGA, Persons, 2001 and 2016, 15-44,"5,921", , ,"4,687", , , , 
 Narrabri LGA, Persons, 2001 and 2016, 45-64,"3,411", , ,"3,527", , , , 
 Narrabri LGA, Persons, 2001 and 2016, 65+,"1,768", , ,"2,299", , , , 
 Narrabri LGA, Persons, 2001 and 2016, All ages,"14,422", , ,"13,481", , , , 
 Narrabri LGA, Persons, 2006 and 2016, 0-14, ,"3,051", ,"2,968", , , , 
 Narrabri LGA, Persons, 2006 and 2016, 15-44, ,"5,131", ,"4,687", , , , 
 Narrabri LGA, Persons, 2006 and 2016, 45-64, ,"3,416", ,"3,527", , , , 
 Narrabri LGA, Persons, 2006 and 2016, 65+, ,"1,879", ,"2,299", , , , 
 Narrabri LGA, Persons, 2006 and 2016, All ages, ,"13,477", ,"13,481", , , , 
 Narrabri LGA, Persons, 2011 and 2016, 0-14, , ,"2,963","2,968", , , , 
 Narrabri LGA, Persons, 2011 and 2016, 15-44, , ,"4,817","4,687", , , , 
 Narrabri LGA, Persons, 2011 and 2016, 45-64, , ,"3,561","3,527", , , , 
 Narrabri LGA, Persons, 2011 and 2016, 65+, , ,"2,097","2,299", , , , 
 Narrabri LGA, Persons, 2011 and 2016, All ages, , ,"13,438","13,481", , , , 
 Narrabri LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,968","2,924", , , 
 Narrabri LGA, Persons, 2016 and 2021*, 15-44, , , ,"4,687","4,405", , , 
 Narrabri LGA, Persons, 2016 and 2021*, 45-64, , , ,"3,527","3,192", , , 
 Narrabri LGA, Persons, 2016 and 2021*, 65+, , , ,"2,299","2,792", , , 
 Narrabri LGA, Persons, 2016 and 2021*, All ages, , , ,"13,481","13,313", , , 
 Narrabri LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,968", ,"2,816", , 
 Narrabri LGA, Persons, 2016 and 2026*, 15-44, , , ,"4,687", ,"4,267", , 
 Narrabri LGA, Persons, 2016 and 2026*, 45-64, , , ,"3,527", ,"2,890", , 
 Narrabri LGA, Persons, 2016 and 2026*, 65+, , , ,"2,299", ,"3,130", , 
 Narrabri LGA, Persons, 2016 and 2026*, All ages, , , ,"13,481", ,"13,103", , 
 Narrabri LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,968", , ,"2,698", 
 Narrabri LGA, Persons, 2016 and 2031*, 15-44, , , ,"4,687", , ,"4,077", 
 Narrabri LGA, Persons, 2016 and 2031*, 45-64, , , ,"3,527", , ,"2,686", 
 Narrabri LGA, Persons, 2016 and 2031*, 65+, , , ,"2,299", , ,"3,341", 
 Narrabri LGA, Persons, 2016 and 2031*, All ages, , , ,"13,481", , ,"12,802", 
 Narrabri LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,968", , , ,"2,576"
 Narrabri LGA, Persons, 2016 and 2036*, 15-44, , , ,"4,687", , , ,"3,838"
 Narrabri LGA, Persons, 2016 and 2036*, 45-64, , , ,"3,527", , , ,"2,600"
 Narrabri LGA, Persons, 2016 and 2036*, 65+, , , ,"2,299", , , ,"3,407"
 Narrabri LGA, Persons, 2016 and 2036*, All ages, , , ,"13,481", , , ,"12,421"
 Narrandera LGA, Persons, 2001 and 2016, 0-14,"1,533", , ,"1,240", , , , 
 Narrandera LGA, Persons, 2001 and 2016, 15-44,"2,449", , ,"1,880", , , , 
 Narrandera LGA, Persons, 2001 and 2016, 45-64,"1,564", , ,"1,598", , , , 
 Narrandera LGA, Persons, 2001 and 2016, 65+,"1,140", , ,"1,258", , , , 
 Narrandera LGA, Persons, 2001 and 2016, All ages,"6,686", , ,"5,976", , , , 
 Narrandera LGA, Persons, 2006 and 2016, 0-14, ,"1,317", ,"1,240", , , , 
 Narrandera LGA, Persons, 2006 and 2016, 15-44, ,"2,067", ,"1,880", , , , 
 Narrandera LGA, Persons, 2006 and 2016, 45-64, ,"1,630", ,"1,598", , , , 
 Narrandera LGA, Persons, 2006 and 2016, 65+, ,"1,135", ,"1,258", , , , 
 Narrandera LGA, Persons, 2006 and 2016, All ages, ,"6,149", ,"5,976", , , , 
 Narrandera LGA, Persons, 2011 and 2016, 0-14, , ,"1,299","1,240", , , , 
 Narrandera LGA, Persons, 2011 and 2016, 15-44, , ,"1,962","1,880", , , , 
 Narrandera LGA, Persons, 2011 and 2016, 45-64, , ,"1,677","1,598", , , , 
 Narrandera LGA, Persons, 2011 and 2016, 65+, , ,"1,177","1,258", , , , 
 Narrandera LGA, Persons, 2011 and 2016, All ages, , ,"6,115","5,976", , , , 
 Narrandera LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,240","1,194", , , 
 Narrandera LGA, Persons, 2016 and 2021*, 15-44, , , ,"1,880","1,664", , , 
 Narrandera LGA, Persons, 2016 and 2021*, 45-64, , , ,"1,598","1,474", , , 
 Narrandera LGA, Persons, 2016 and 2021*, 65+, , , ,"1,258","1,380", , , 
 Narrandera LGA, Persons, 2016 and 2021*, All ages, , , ,"5,976","5,713", , , 
 Narrandera LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,240", ,"1,076", , 
 Narrandera LGA, Persons, 2016 and 2026*, 15-44, , , ,"1,880", ,"1,565", , 
 Narrandera LGA, Persons, 2016 and 2026*, 45-64, , , ,"1,598", ,"1,292", , 
 Narrandera LGA, Persons, 2016 and 2026*, 65+, , , ,"1,258", ,"1,500", , 
 Narrandera LGA, Persons, 2016 and 2026*, All ages, , , ,"5,976", ,"5,433", , 
 Narrandera LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,240", , ,982, 
 Narrandera LGA, Persons, 2016 and 2031*, 15-44, , , ,"1,880", , ,"1,409", 
 Narrandera LGA, Persons, 2016 and 2031*, 45-64, , , ,"1,598", , ,"1,198", 
 Narrandera LGA, Persons, 2016 and 2031*, 65+, , , ,"1,258", , ,"1,532", 
 Narrandera LGA, Persons, 2016 and 2031*, All ages, , , ,"5,976", , ,"5,122", 
 Narrandera LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,240", , , ,890
 Narrandera LGA, Persons, 2016 and 2036*, 15-44, , , ,"1,880", , , ,"1,257"
 Narrandera LGA, Persons, 2016 and 2036*, 45-64, , , ,"1,598", , , ,"1,118"
 Narrandera LGA, Persons, 2016 and 2036*, 65+, , , ,"1,258", , , ,"1,519"
 Narrandera LGA, Persons, 2016 and 2036*, All ages, , , ,"5,976", , , ,"4,785"
 Narromine LGA, Persons, 2001 and 2016, 0-14,"1,694", , ,"1,445", , , , 
 Narromine LGA, Persons, 2001 and 2016, 15-44,"2,776", , ,"2,124", , , , 
 Narromine LGA, Persons, 2001 and 2016, 45-64,"1,700", , ,"1,700", , , , 
 Narromine LGA, Persons, 2001 and 2016, 65+,890, , ,"1,330", , , , 
 Narromine LGA, Persons, 2001 and 2016, All ages,"7,060", , ,"6,599", , , , 
 Narromine LGA, Persons, 2006 and 2016, 0-14, ,"1,563", ,"1,445", , , , 
 Narromine LGA, Persons, 2006 and 2016, 15-44, ,"2,370", ,"2,124", , , , 
 Narromine LGA, Persons, 2006 and 2016, 45-64, ,"1,773", ,"1,700", , , , 
 Narromine LGA, Persons, 2006 and 2016, 65+, ,985, ,"1,330", , , , 
 Narromine LGA, Persons, 2006 and 2016, All ages, ,"6,691", ,"6,599", , , , 
 Narromine LGA, Persons, 2011 and 2016, 0-14, , ,"1,636","1,445", , , , 
